CONTENIDO A ANALIZAR;INTENSIDAD
joder !!!!..y yo tampoco y veo las mierdas que hacéis!!!!!...;4
oles ,oles ,oles....fuera  los mongoles...despachados!!!!;4
te hubiese quedado bien aquello de y a las  ratas y sus parejas ,se les manda a  su hábitat, los verdaderos y cloacas ;4
contrata gente hija de puta...;4
dos gilipollas en apuros...;4
enga...a tomar por culo...;4
nos la suda fortí­simo;4
dais asco;4
os habeis subido al carro de los socialcomunistas no?? hala ya faltan menos, que asco dais.;4
serán los mismos gilipollas que van a fiestas ilegales?;4
@mensin16 el peor presidente de la historia de españa, ¿aspira a ser presidente de expaña?, ¿qué coño está haciendo?;4
basuras;4
vaya mierda;4
Â¡qué se jodan los ricos!;4
que hijos de puta, ojalá se hundan diario de pacotilla .|.;4
muestra que es una asesina malvada y una escoria de ser humano;4
este sujeto desalmado deberí­a estar en soto del real desde el 09/03/20;4
no sirvo para esa basura de poliamor.;4
piensa pedir disculpas por esas declaraciones de palurda follaovejas ? o le tendremos que reí­r la gracia por ser una querida ignorante gringa ? ahhhh la excelencia de la incultura y la ostentación de la ignorancia;4
habló de putas la tacones;4
@becaes_ ufff .......y a mí­ que cojones me importa ? ......como si quiebra..es solo fútbol ....no creo que la ciencia se resienta en españa;4
inepta corrupta de mierda....;4
jajaja payasos.;4
quí¨ asco;4
mal peinado y gilipollas pero por lo menos asume su incompetencia;4
a la puta carcel la faxha de mierda  y las trabajadoras igual, pqra eos valen los putos funcionarios corruptos de esye puto pais con el pp de mierda corrompido todo;4
este señor no tiene ni puta idea de como funcionan esos fondos. parece mentira...;4
sois unos hijos de la gran puta a kien le corresponda....y punto;4
hdp;4
un golfo;4
golfo;4
son golfos, gentuza;4
@jorgebustos1 son golfos.;4
es un golfo;4
golfo;4
golfos;4
sois una puta basura y ojalá desaparezcáis. no merecéis que os llamen periodistas. que asco, joder.;4
eres una ignorante.;4
ya lo dijo extremoduro...iros todos a tomar por culo!!!;4
sois subnormales. punto;4
no sois periodistas. sois idiotas.;4
tú eres tonto .....y en tu casa lo saben ....;4
son unos sinvergüenzas.;4
"@sigmados dos tercios dice!! pocos son, que vergüenza de gobierno, elecciones urgentes ya!! esta gentuza debe irse. destructores.
#gobiernodimision
#gobiernodeinutiles
#gobiernodelamuerte";4
lo mismo que aquí­.. #gobiernodimision sinvergüenzas;4
"igualito que aqui nuestro gobierno de traidores y sinvergüenzas que les ponen en bandeja de plata nuestras casas.
#gobiernodimision
#gobiernocriminalycorrupto";4
"son unos desgraciados. van a muerte para conseguir sus objetivos durante su legislatura, lo que pase a los ciudadanos y al pais les importa nada, absolutamente.
#gobiernodimision
#gobiernocriminalycorrupto
#gobiernosocialcomunista";4
igual no es prioritario ahora mismo, no os parece, gilipollas?;4
"pago de las facturas.
perro flauta le da igual.!";4
bastardos;4
mira que sois salames eh! intentando convencer a la gente que messi te arruina? o no sabéis nada de negocios? es una de dos, no pueden ser más zopencos.;4
una alimaña como esa, no deberí­a volver a ver la luz del sol  jamás. encerrado a pan y agua hasta que se pudra;4
sois unos hdp;4
jodete redondo !!;4
esto es repugnante para las familias de asesinados por eta ... que asco de gente !!;4
a quién mierda le puede interesar esto con la que está cayendo?;4
cada dí­a de retraso un tiro a donde duela por hijos de puta que manera de jugar con la jente;4
quién es este idiota?;4
este sujeto deberí­a ir a la cárcel, porque sus decisiones, todas generalmente malas, están costando vidas. sinvergüenza @gfvara;4
se está auto inculpando. reconoce que es responsable por inútil.;4
la realidad es lo contrario. el pueblo teme a gobiernos ineptos y prepotentes como el que tenemos.;4
yo lo que echo en falta es un presidente de gobierno que gestione bien. y no al inútil de sanchez;4
espero que la justicia haga su trabajo con este gobierno de gentuza;4
espero que a dicha fulana la entre cólico trapero y se quede tisica;4
mejor que no te lleves nada. simplemente vete inutil;4
y aún hay algún idiota que lo aplaude;4
estos imbéciles no saben q las mascarillas mojadas no protegen.imbéciles redomaos..;4
patético...;4
metansela por el qlo;4
y esto es una noticia mundial....vaya puta mierda de noticia madre de dios;4
aprende la historia de usa primero, ignorante;4
pablitooo!! luego se te llena la boca de que la izquierda es populista!!! menudo hipocrita estas hecho campeón.;4
otro chupon , aparte de otras cosas !!;4
mejor ni te contesto mamarracha;4
que se vaya a la mierda  textualmente;4
y a quien van a poner ?? a iceta ?? más mierda dentro no@por favor;4
algo que no podemos olvidar ... h pegado un petardazo antes;4
cagarme en tu p....madre;4
se pegan la buena vida!!! mientras tanto los demás sufriendo las consecuencias del covid como imbéciles!!;4
illa asesino;4
no hagas basura;4
diario nefasto;4
y lleva mi hija de 3 años, que se pone su mascarilla y cumple las normas  casi 1 semana confina y aun le quedan umos dias!!!! mamarachos que sois unos mamarachos;4
in my best spanish - sois una puta vergüenza!!;4
que degenerados.;4
este tí­o es un pirata;4
subnormal;4
mentirosos;4
por favor que alguien le diga a este señor que es idiota.;4
menuda estupidez...;4
y al el que mierda le importa si nieva...;4
sera por ineptitud, o por no disponer de jeringuillas que aprovechen los culillos?;4
son ruines hasta entre ellos.;4
era adicto a las pastillass.;4
un poquito de acidito en esa carita ï¸;5
sólo tienes que ir a un pipican. menuda tontunada;4
das vergüenza.;4
la concha de tu madre, leo. comparte un poquito.;4
fake news!!!! vuestra indigencia intelectual os hace ser perversos y un contenedor de basura como medio de comunicación;4
ella no es imbí¨cil, alternes la votan y le pagan el salario sí­!;4
"pero esa gilipollas dónde coño tiene la â€œcabeza?â€.
ah ya!!!, ahí­, ahí­...";4
esperpento....;4
asco y repugnancia. ni olvido ni perdono. #dignidadyjusticia #niolvidoniperdón  #siempreconlasvictimas #vtc;4
cada dí­as dáis más vergüenza.;4
la garrapata chepuda del moño lleno de caspa, tiene cogido de los huevos el psoe, hace con ellos lo que quiere.;4
intoxicadores dais asco;4
en serio no le da vergüenza a este señor??;4
el comodí­n de la pandemia para el periodismo vasallo.;4
cuantos imbéciles con dinero;4
con todos mis respetos: este tí­o es tonto.;4
venga a pedir dinerito, que luego ya, lo regalamos a los amiguetes y familiares con contratos mafiosos;1
exkalibuuuuur!! rajoy asesinooo!!!;4
no se puede ser más incompetente.;4
cuanta basura junta, estos desinformadores..;4
más idiota y no nace.... esto es lo que tenemos que aguantar en extremadura;4
próximo a vox qué significa? que al resto les da igual la mierda de gestión de ese sinvergüenzas?;4
cada vez que abre la boca el hombre que vendió a iu - @agarzon - sube el pan. es un inepto saco de complejos con patas, y lo de patas no es una errata.;4
joder con la que está cayendo y vosotros con esto, que puta vergüenza. menos pan y circo y más investigar cómo con el gal, que hay mucho aún para tirar de esa madeja, cobardes apesebrados.;4
pero dan premios a estas basuras que solo ven ellos.?¿;4
púdrete hija de puta. te vas a librar porque no existe la pena de muerte, cosa que vosotros sí­ hací­ais sin miramientos. púdrete en la cárcel, malnacida.;4
hay que ser mala e ignorante!;4
pobre hombre , qué patético!!! coño di que quieres dinero pa llenar sobres y déjate de gilipolleces!!!;4
vaya jeta!!;4
sois patéticos.;4
"vamos lo de siempre. el crio se queda con la paliza recibida y los mierdas estos en la calle sin grandes molestias.
que gran paí­s han creado los polí­ticos de esta pseudo-democracia.";4
¿a cualquiera lo censuran en esta mierda de red social por decir cualquier memez y a estos imbeciles, que ven fascistas por todos lados, insultando a diestra y siniestra nunca les cierran la cuenta?;4
#lomundo periodismo de mierda del siglo xxi;4
hay que ser hijo de perra. encima, con recochineo.;4
"encima piden pagar por leer semejante basura...
ya ni se esconden...";4
gilipollas!!!;4
80.000 muertos te llevas cabrón!!!;4
vaya estupidez de portada;4
somos un paí­s de panderetaÂ¡Â¡Â¡. los polí­ticos actuales no saben gestionar nada de nada, ni el gobierno ni las comunidades ni un santo polí­tico de este pais, preocupados sólo por apoltronarse en el cargo y vivir de los impuestos de los demásÂ¡Â¡Â¡. dan ascoÂ¡Â¡Â¡. polí­ticos pandemicosÂ¡Â¡Â¡;4
como siempre, los pandemicos polí­ticos aprovechándose de la situación. son lo peor del universoÂ¡Â¡Â¡.;4
y todos a la puta calleÂ¡Â¡Â¡.;4
hay que ser un burro descerebrado para no saber quien termina pagando todo lo que se le  ocurre subir de impuestos a un estado estafador como el nuestro.;4
gentuza;4
iros a tomar por culo.... panda de superfluos;4
asesinos;4
son unos manipuladores y unos mentirosos;4
menudo carbón;4
razones humanotarias para el asesino;4
asesinos;4
hijo de puta;4
tu eres un hijo de puta;4
asesinos dobles;4
asesina;4
puto cí­nico;4
miseria;4
me parece una vergüenza y una indecencia!!ojalá se pusiera veto a estos sueldos x pegar patadas a un balón,publi etc...es repugnante ver estas cosas.;4
no podéis ser más gilipollas.;4
"se nos prohí­be reunirnos en casa de nuestros familiares, ante el fallecimiento de seres queridos no se nos permite despedirlos como merecen, nuestros padres y abuelos mueren solos en los hospitales y residencias... 
señores polí­ticos: Â¡váyanse ustedes a la m***!";4
miserables;4
vergüenza de incompetentes;4
a ver si se mueren unos cuantos hijos de puta;4
como trataste tu a los asesinados hija de puta;4
menudos weavins tenéis!;4
estos catalanes de los cojones con elecciones ahora. no se puede tocar más los huevos.;4
"y de la gestión directiva no hablan??!
el barca firmo el contrato porque #messi genera mucho más d lo que gana 
no le hagan creer a la gent, q el barí§a está mal económicamente por #messi
son un asco 
ojalá messi se vaya pronto de ese club de mierda 
q no es nada sin él!!!!";4
si esto es periodismo, merecéis extinguiros sin nadie que os vele.;4
que asquete das.;4
indecentes!;4
me callo el castigo q le aplicarí­a a tal hdgp... xq me pueden cerrar la cuenta......;4
claro nos la suda to, ya lo estamos viendo;4
se nos esta yendo la cabeza a todos eh? no hay respeto, no hay autoridad, no pasa nada.... claro si son los putos politicos y familia los primeros q no dan ejemplo los hdp.....pues a partir de hay......;4
ojo x ojo...... q empiecen a pagar lo q hacen los hdgp;4
hombres de paz.... q ahora esta de moda llamar a todos los hdp asi....;4
correcto q se jodan y los últimos en la lista x hdp.....;4
putos politicos hdp;4
q jeta tienen..... siempre tienen una excusa los polí­ticos para no ser ellos los responsables de naaaaa..... has dimitió x saltarte el toque de queda, x abandonar el coche pa q no te pusieran el globo, como nos harí­an al resto de lo mortales y x tomarnos x gilipollas,,,embustero;4
hija de la gramdisima perra;4
perfecto, se necesitan profesionales comprometidos, no vagos inútiles.;4
más que polémica, es que es de vergüenza ajena... es el colmo del ridí­culo;4
hay que ser mamarracha.;4
que queréis tonta ella tonto el;4
a ver si se matan entre  ellos de una.puñetera vez.;4
debe de ser que esto también es culpa de españa, que nos roba. de extremeños y andaluces. y de esos putos castellanos, que van por ahí­ hegemonizando medio planeta, con su sobriedad y su austeridad.;4
pena que sean terroristas porque, con su capacidad de movilidad con restricciones, confinamientos y fichados por el fbi, se los rifan entre las empresas de logí­stica y transporte. igual hasta pasaron unos dí­as en un hotel pagado con impuestos para coger fuerzas en su aventura.;4
qué más dará donde estén!!!! serán asesinos siempre;4
payasos!;4
pablo d. almogueda es un pedazo de mierda con patas;4
jajajja la culpa es de podemos también, jajaja lo mejor de todo es que la peña se cree toda esta basura.;4
escoria de periodismo;4
"- que me vas a hacer otra pcr? Â¡te puedes meter el palito por el culo!
- exacto, bajese los pantalones";4
otro hdp;4
q te calles y te pires. vete a jugar a la politica a tu ccaa y deja de decir sandeces. eres un inutil. siempre lo has sido y siempre lo serás. y a las familas las dejas tranquilas q bastante sufrimiento tienen por tu culpa. eso es lo q te tienes q llevar. la culpa, mamarracho;4
carapolla;4
dice el puto facha que tiene en la cárcel a medio govern...;4
dejarnos en paz de malas noticias , es asqueroso;4
cobardes que se unen en grupo para poder abusar de un persona indefensa. repugnante.;4
desgraciado pí­rate ya ineptoÂ¡Â¡Â¡ lo + triste es q no abandonas el cargo  por lo mal que lo hiciste...sino x unas elecciones...lamentable tu y lamentable  la gente q t chupa el ojal y todos los q silencian esta cagada, fanáticos lameculos....;4
gobierno de la mentira....quedan 2 años y 11 meses para saber si este paí­s esta definitivamente podrido;4
tu no eres un ser humano hdp, solo hay que verte la cara y escucharte hablar. 14 asesinatos a tus espaldas.;4
que le tiren el mismo ácido!!! hdp;4
a tomar por culo los protocolos covid de la liga....;4
que maldita vergüenza;4
algunos iluminados de estos en forma de mandamás de la cc.aa. incluso han dicho que deberí­a ser a las 6 de la tarde, que pretenden concentrar en los super a toda la gente por la mañana y así­ propagar más los contagios?. inútiles!!;4
hay que tomarles los datos y cuando vayan a urgencias que los manden a la mierda;4
que puto asco de peña;4
@lavanguardia no se a que esperan a meterle fuego, parasitos;4
y el mundo publica esta gilipollez?;4
"en marzo no tuvieron problema para cagarse en nuestros derechos. ahora, que estamos mucho peor que en aquel entonces es que  afecta a nudsyto estado de derecho. 
no confina porque sabe que si lo hace va a perder a votantes en cataluña. no diga gilipolleces.";4
¿y quién es él? (usted no sabe quién soy yo, dice el estúpido);4
inútiles e irresponsables;4
periodismo de cloaca.;4
pues para no tener memoria si se acuerda que lo padece desde 2018,cuentista de mierda;4
gentuza;4
mienten hasta que se les ve el plumero estos cabrones.;4
"todos sabemos que tusquets fue el que filtro el contrato de leo messi. 
tusquets hijo de puta!!";4
que cabrones los jueces, vamos a llenar de indepes belgica. menos mal que puchi tiene un apartamento grandecito....;4
es una mari pero no tan mala malí­sima por eso le va para el culo;4
@lavanguardia madrit ens roba. no? que paletos sois.;4
esta gente es imbécil;4
a pedradas con estos hijos de puta;4
todos a ayudar en lo que se pueda... disculpado tendrá picor de culo;4
g i l i p o l l a s, a n o r m a l e s, p a l e t o s;4
imbeciles;4
muy bien madrid! ahora salgan a aplaudir a a las 20 horas a gente que cobra por hacer su trabajo! paí­s de imbéciles y focas;4
hdlgp;4
@becaes_ hdlgp;4
invadir una nave no la convierte en tu casa, peazo parasita.;4
tu lo que eres es un jeta.;4
me explicas  cuando las han testado? mas mentirosos que una mierda;4
una patada en los cojines les daba yo....hijos de puta...;4
y a las familias del comité de expertos......, mal nacido!!!!;4
@ldpsincomplejos qué ascó de paí­s. capaz de lo mejor y de lo más abyecto;4
quina puta merda de periodisme;4
mira como es y como se lo hace @idiazayuso, estupido - sinvergüenza @jjaviervazquez .;4
miradle la cara ,más gilipollas y no nace;4
menudos dos gilis...;4
esto es españa.  paí­s de corruptos;4
intenta dar seguridad y aplome y lo que realmente desprende es hedor a chulo barato.;4
"@saulortizs precioso artí­culo y muy de verdad
me parece indigno lo que hacen en salvame,estos si son mezquinos avasallando a gemio sin piedad,vaya panda d buitres";4
sinceramente, que os follen, por votar la mierda que votais. (a mi también me follan pero sonrí­o pensando en los votantes de los progres).;4
el club más mafioso del mundo;1
panfletos interesados y tal. no consuman.;4
que hijo de put...;4
@lavanguardia ser abominable.;4
es una terrorista sin máscara!;4
hasta eso ya estoy muerto ! luego lo venden a fondos y a la puta calle;4
no saben ya como dar por culo jajaja;4
sois unos terroristas;4
el experto de la oms se puede ir a tomar por culo;4
"con la que esta cayendo, gente muriendo, otra perdiendo su trabajo, autónomos con negocios cerrados y vendiendo este circo del fútbol como noticia de impacto mundial.

bastardos de pluma";4
payaso;4
y con tanta gilipollez les va como el culo.;4
que este inútil vaya tirando para cataluña y a rezar que el que pongan sea menos inepto.aunque lo veo difí­cil.;4
dimision. valientes mmarrachos;4
menuda retrasada mental;4
vergonzoso golpistas sueltos .;4
en la cárcel te pudras zorra;4
imveci.l;4
que ascazo;4
menudo panfleto de mierda... ya tuvisteis que pagarle una vez por difamación y ahora vais a tener pagar el doble payasos... de los perros blancos nada... esto es españa una mierda;4
"¿no serí­a mejor que dejasen de robar?
ak-67 propone destinar todo lo robado por el pp, a los afectados por el desastre de la gestión de la comunidad y ayuntamiento de madrid en un temporal de nieve avisado semanas antes.
vaya banda de ladrones y de ineptos.";4
periodistas terroristas sois culpables;4
"periodistas terroristas del buení­simo mediático impuesto en españa desde 1978
dais mucha repulsión y asco los periodistas terroristas";4
que asco llegáis a dar toda esa gentuza q piensa como tú nazi de mierda si llego a estar en ese vagon te aseguro q te pongo los huevos en el cuello hijo de puta;4
repugnantes y enfermos.;4
para que luego cuatro gilipollas vayan a sol a hacer el subnormal;4
mis cojones!!!!!;4
maldito sinvergüenza.;4
así­ me gusta, la seguridad ante todo. luego vienen los contagios, necesitan más camas de hospital, no hay camas pq el presupuesto se lo llevo el independentismo y al final la culpa es de quien? pues de españa q nos roba. se vayan todos a la mierda.;4
vosotros si que sois un virus, un virus de mierda.;4
@marionoyam ole sus cojones, lo único válido de esta mierda de gobierno.;4
esta cosa con coleta es una basura.;4
mala decisión, q les pongas la segunda dosis y a la puta calle;4
esta hdlgp trató a sus ví­ctimas como seres humanos?;4
esta es la noticia de impacto mundial? vosotros sois gilipollas;4
pedazo de malnacido! ojalá te encuentren pronto y con el historial delictivo que llevas a tus espaldas, te pudras en la cárcel  cobarde es lo que eres un miserable cobarde maltratador y delincuente. pudrete pedazo de malnacido.;4
pues que no cobren un puto euro. si yo no trabajo, que no cobren.;4
"@lavanguardia @tavo_ucatolica nooooo es gente del presidente trupm..
es el grupo terrorista an-ti-fa....";4
subastando lo que queda de paí­s.. quien da más... chatarra barata!!;4
vaya paleto, la verdad.;4
eso digo yo, ¿quien escucha al mediocre éste?;4
dan asco.;4
"enfermo patológico ; mentiroso y egocéntrico . prevalece su objetivo polí­tico en cataluña , sobre su responsabilidad de decisión en la pandemia . ahora toca comparecer y dar la cara , pero se oculta y delega en las c.a.";4
valiente hijo de puta!;4
vergüenza y asco;4
y poco es para lo que merece ésta escoria....;4
miedo me da verte el careto, tontolaba ...;4
nos toma por idiotas. no seas idiota.;4
este tí­o es retrasado?;4
sois una p***a vergüenza y egoistas.;4
qué asco de artí­culo y de periódico;4
vaya mierda de justicia;4
joder que miedo a morir tiene una puta vergüenza eso es lo que es todo este gobierno que tenemos en general sean del pp psoe etc.;4
descerebraos !!!!;4
tontos,tontos y mas tontos;4
este subnormal a que no le faltara dinero,que por cierto sale de nuestro bolsillo;4
putos sinvergüenzas, que pena estudiar tantos años una carrera para tener que investigar noticias así­, a mamarlaaa;4
@chicotelerena hijos de puta @psoe !!!;4
y esto es noticia? menuda basura de periodico;4
pero da mucho por el culo;4
criminales;4
disfruten del desgobierno votado por idiotas.;4
asesina;4
mas mierda progre ....;4
le deseo todo el mal que ha hecho x22, miserable asesino.;4
eres un sinvergüenza,  un maldito sinvergüenza .;4
los grandes patriotas españolazos de esta pais de pandereta;4
en nuevo orden mundial.... manipulados como ratas de laboratorio.;4
contigo no hay sorpresa, eres la escoria que parecí­as;4
los lumbreras y mentirosos ante la realidad;4
más gilipollas es imposible.;4
hdlgp.;4
chupala carapolla;4
o simplemente colaboraste para que los mataran !!! eso es terrorismo de la misma calaña !!!;4
y luego le echan un litro de ácido en la cara a una chica y no sale nadie... cosas de la vida que cada vez dan más asco.;4
ahora de premio mas paga semanal para que no se sientan discriminados, pobres hgp;4
"claro! ahora resulta que para ser ministr@ de sanidad, el perfil a reunir es ser o filósof@ o abogad@?
manda narices!
era de prever entonces que para ser presidente del gobierno de españa tan solo hay que ser un inútil!!
#elpeorgobiernodelahistoria
#elpeorpresidentedelahistoria";4
la conga y el resto de gilipolleces;4
despues a los desahucios con las porras, que asco;4
¿cédula de habitabilidad?  ¿contrato de luz?  demagogos!!!;4
me alegra que hayan atrapado a este hdgp;4
vaya puta verguenza;4
vaya puta verguenza;4
hasta pedofilos  seran;4
periódico de mierda, portada de mierda;4
manga de buitres;4
hay mucha gente estupida que se cree con derecho a opinar sobre lo que no tiene ni p idea! si es que ya me ponen de mala leche..ni vacunan pero dan cero opciones y para parar esta mierda!;4
hay muchas razones por las que se ha podido hacer una vacuna tan rápido y mucha desinformación que la gente sin conocimientos se cree...si la gente no se quiere vacunas que den una opción. xa parar esta mierda!!!!;4
para generar anticí­penos al 94% hacen faltan la dos dosis...con la primera a las 3 meses protege al 52%..a lo 6 dí­as no hay anticuerpos todaví­a...xq coño la gente no se informa antes ... se tienen que seguir manteniendo las medidas de seguridad...es que hay gente estupida!;4
invisibles? pero si no hacen más que hacer el imbecil y entorpecer todo!;4
se me han agotado los calificativos para describir a semenjante estupido!;4
es una impresentable!;4
porque el programa no habla de lo polémico que fue esto @vivalavidat5  gentuza;4
podrí­an darle oxí­geno a este lerdo madre mí­a, claro como tú tienes tú dinero todo los meses sub normal asqueroso payaso.;4
esta gentuza podrá alguien parar a estos desgraciados.;4
jajajajajajajajaja ojo los subn0rmales;4
@csifprisiones cuéntaselo a las ví­ctimas de eta. dais asco.;4
estupido mediocre;4
no se puede ser mas psicópata e inútil...;4
como sea igual de inepta que ella...;4
eso es lo qué tiene tener clase y elegancia..bravo por las dos...la pedroche ridí­cula;4
un sinvergüenza y cara dura;4
no se puede ser más mediocre, marisabidillo, pedantemente iletrado que el que ha hecho esto.;4
eres un ser despreciable...;4
detras de esas personas, no tengo duda que están los miserables de podemos, siempre apoyan a los delicuentes.;4
sois unos sinvergüenzas. por eso perdéis elecciones y estáis en la oposición. fracasados. gentuza.;4
@taverinez estamos en manos de.... absolutos..... ineptos sin escrúpulos.;4
@lavanguardia @jjoaquinvera embustera y ladrona;4
qué coño perdón ni nada... cierre y multa!!!;4
qué asco.;4
menudo gilipollas mr puig. el peluquí­n para todos o nos quedamos calvos...;4
todo para dar palas a la gente. panda de inútiles;4
doblemente impresentable, cí­nico e hipócrita.... pues con tus lecciones me limpio el culo..... asqueroso;4
"será subnormal !!! ahora tiramos la dosis y listo no? vaya panda de inútiles y estos quieren sacar adelante una ciudad o un paí­s ?       
        disfruten de lo votado";4
y toda la izquierda sindicalista quejándose del zendal.... a ver si sale algún hijo de puta izquierdista y se queja del hospital de campaña de valencia .... no lo harán por que son unos mal nacidos ..... hipócritas, cí­nicos e impresentables.;4
sois unos comerabos del capo!;4
son sus costumbres medievales hay que respetarlas..... hijo de puta.;4
asco,dais asco.;4
"cinico hipócrita ahora le bajan sentimientos de moral.
criminales!!!";4
dan asco sus noticias... son parte del globalismo degenerado y corrupto.;4
"justo cuando sale que el psc se une a aplazar las catalanas, os apresuráis a sacar esta portada.
en el sótano de vuestra miserabilidad siempre hay una planta más.";4
si nitroglicerina a ver si revienta y le hace un favor a los venezolanos;4
es embustero cí­nico...;4
gentuza en libertad ...;4
hijos de 1000 putas;4
mal paridos .;4
estos inútiles solo están para meter mierda no son polí­ticos son perroflauta comunista nada más;4
hacéis noticia de cosas absurdas en momentos absurdos .;4
yo no entiendo que este tio siga al frente de la pandemia con lo bocazas que es;4
en trastornos mentales les ganan los hosteleros;1
confinamiento : ruina y miseria para seguir igual;4
confinaos vosotros imbéciles;4
hasta los huevos de mascarilla;4
sois una mierda;4
y porque, sobre todo, son ridí­culas;4
qué mala es la policí­a....;4
esto es todo subrealista, este se cree q esta dejando el culito de un cubatilla. penoso;4
no os enteráis. que si el psoe y podemos dicen que el zendal es una mierda, pues es una mierda y ya está, mecagoento!!!!;4
sois basura,siempre intentando echar mierda a messi;4
quitando hierro al asunto¿? dais pena.;4
ultima hora! sois unos hijosdelagrandisimaputa;4
a su paí­s directamente!! estamos aguantando gilipollas siempre!!;4
un puto loco que deberí­a estar en la cárcel de por vida. una persona que reacciona así­ no está bien de la cabeza. hoy hará eso, mañana maltratará y pasado a saber.;4
un patriota, un idiota;4
subnormal;4
y que muchos no dieron positivo en alcohol  se piensan que somos imbéciles??? claro, bebí­an fanta;4
encima que ayudan, que asco de paí­s;4
pues q los confinen en la cárcel ladrones!;4
la re concha de sus madres;4
menudo impresentable, luego son los primeros en utilizar las leyes que no les gustan.;4
miseria periodí­stica ...bla, bla, bla y bla;4
terrorismo informativo...basura;4
panfleto sin credibilidad, sectarios de la derecha.;4
y que pasa? no es legal el dinero que percibe messi? o el contrato que le hizo el fcbarcelona? o es que ya empezamos a tocar los huevos como siempre? a ver si hacemos portadas de verdad y que a todo el mundo le interesa. por ejemplo que somos marionetas del puto gobierno.;4
yo será más cruel con el hashtag, #hayunvirustambienparati te está esperando gilipollas!!;4
iros a cagar;4
el que lea esa frase y se lo crea es idiota perdido.;4
manipuladores, malos periodistas.;4
no se puede ser más tonta...;4
que ascó de paí­s !! mentes aborregadas;4
la madre que me parió...;4
@lavanguardia tarados hijos de una hiena.;4
@perikoangel sin coste? cuanto dinero público le ha regalado el carappolla?;4
justicia serí­a hacerte lo mismo que hací­as vosotros ratas cobardes.... un tiro contra ti serí­a malgastar una bala... perdida de dinero que pagamos todos por mantenerte viva...;4
@lavanguardia maldita banda de inútiles este @govern @albaverges incapaces, incompetentes! ara dirán que la culpa es de españa tmb!;4
@lavanguardia malditos inútiles, siempre contra los mismos,!;4
tanta paz lleves como descanso dejas, hdlgp.;4
@lavanguardia a buenas horas! panda de idiotas!;4
este tí­o es un pirómano!!!;4
que asco de raza humana. cuanta bajeza junta, y que pena de dirigentes de mi paí­s que permiten que esto ocurra, ninguno está a la altura de la situación. 40 dí­as los dejaba yo ahí­ encerrados sin ver la luz.;4
que le den humanidad enlace cárcel. hay 22 personas a las que el ha dado muerte. asesino.;4
@margem21 es que no lo hací­an ya? pues hay que ser un c*bron para no hacerlo.;4
pero la gente es gilipollas o que pasa...;4
sois una vergüenza.;4
es un dictador, no un presidente. dais vergüenza.;4
"pues vaya estupidez, eso en la práctica significa 150 dosis desaprovechadas. 
lo que deben de hacer es quitarles los cargos públicos y que se busquen la vida en otros ámbitos, que como buenos parásitos que son no tendrán problema alguno.";4
estos están idiotas o se lo hacen....;4
al inmoral gobierno de sánchez le valen todo tipo de votos, incluso los de estos parásitos sociales;4
paí­s de chapuceros;4
prensa de mierda!;4
es q casado siente la presencia y aceptación de vox como una amenaza para su corrupto partido y el carisma y firmesa de abascal un reto a su cobardí­a polí­tica.;4
menudo imbecil!! q aprenda a cantar q no lo conoce ni su puta madre!! suelta esas lindezas para q le contrate algún alcalde de su palo!!;4
que asco me da mi propio paí­s con estas cosas;4
hasta cuándo van a andar sueltos esos delincuentes...;4
un jeta es lo que es.;4
una puta mierda de exclusiva. qué esperar de tamaño panfleto.;4
manipuladores y sinvergüenzas. los periodistas del mundo. asco!!!;4
"el derecho más básico es el derecho a la vida...
menuda hdlgputa.";4
lameculos!;4
el mundo hijo de puta;4
@rosyrunrun los efectos secundarios de tener mucha pasta, tienes un jardin enorme donde disfrutar de la nieve y además te vuelves un/a gilipollas egolatra;4
menuda desgraciada!! vaya tia mas imbecil, las desgracias de los ricos....;4
ese ser es un monstruo;4
claro que sí­, la olita segunda igualita a esta.... nos tratan como idiotas.;4
si son exmenas, a su puto pais. ya basta de que los niños y exniños de podemos sigan sembrando el terror por nuestro pais.;4
vas a morir en la cárcel, rata.;5
no soy de vox ni de ningún partido, y no sé quién coño eres;4
con dos pares de narices, y los que habrán entrado por canarias;1
@ldiazayuso pero qué metemierdas es esta mujer .. cuanto odio y ganas de confrontación. no remuevas más el avispero y dedí­cate a gobernar tu comunidad.;4
buuuuuuuuu. que porqueria de gente. cinico.;4
esta es la mierda de exclusiva mundial que iba a cambiar todo????;4
@lavanguardia menudo parásito....;4
@lavanguardia siempre hace lo mismo. criticar a los demas cuando su gestion de barcelona da asco.;4
manipuladores!;4
asqueroso...;4
"vaya pedazo de mierda de noticia.
hasta los cojines de manipulación.";4
hdgp. qué te follen .;4
menudo hdlgp, aparte de desequilibrado.;4
este hombre esta loco, como puede haber un solo español que se crea a esta gentuza!;4
gente miserable y sin valores, lo único que le deseo es lo peor a esta gentuza;4
toman a los españoles por idiotas.;4
gilipollas;4
este ya está en marruecos .... menudo hdgp;4
vaya mierda el zendal de ayuso, a no que es el hospital de ximo puig y no sales en los medios informativos;4
saco de mierda.;4
"puta bida tete.
mañana tengo un examen de orina y no he estudiao.";4
qué geta! dimisión ya!;4
tezanos es un chupa ......... eso;4
"qué asco me dan.....
esto no es el psoe esto es el sanchismo, lo más parecido al franquismo que hemos tenido hasta la fecha.";4
no le entendéis. lo que esperaba era una torta con la mano muy abierta.;5
